Name	Type	Width	Decimal	NULL																																																																																																																																																																																										
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																																																																																									
cash_y1	Character	10	0	TRUE	cash_y1 varchar(10) null																																																																																																																																																																																									
cash_y2	Character	10	0	TRUE	cash_y2 varchar(10) null																																																																																																																																																																																									
cash_y3	Character	10	0	TRUE	cash_y3 varchar(10) null																																																																																																																																																																																									
cash_y4	Character	10	0	TRUE	cash_y4 varchar(10) null																																																																																																																																																																																									
cash_y5	Character	10	0	TRUE	cash_y5 varchar(10) null																																																																																																																																																																																									
cash_y6	Character	10	0	TRUE	cash_y6 varchar(10) null																																																																																																																																																																																									
cash_y7	Character	10	0	TRUE	cash_y7 varchar(10) null																																																																																																																																																																																									
stinv_y1	Character	10	0	TRUE	stinv_y1 varchar(10) null																																																																																																																																																																																									
stinv_y2	Character	10	0	TRUE	stinv_y2 varchar(10) null																																																																																																																																																																																									
stinv_y3	Character	10	0	TRUE	stinv_y3 varchar(10) null																																																																																																																																																																																									
stinv_y4	Character	10	0	TRUE	stinv_y4 varchar(10) null																																																																																																																																																																																									
stinv_y5	Character	10	0	TRUE	stinv_y5 varchar(10) null																																																																																																																																																																																									
stinv_y6	Character	10	0	TRUE	stinv_y6 varchar(10) null																																																																																																																																																																																									
stinv_y7	Character	10	0	TRUE	stinv_y7 varchar(10) null																																																																																																																																																																																									
ar_y1	Character	10	0	TRUE	ar_y1 varchar(10) null																																																																																																																																																																																									
ar_y2	Character	10	0	TRUE	ar_y2 varchar(10) null																																																																																																																																																																																									
ar_y3	Character	10	0	TRUE	ar_y3 varchar(10) null																																																																																																																																																																																									
ar_y4	Character	10	0	TRUE	ar_y4 varchar(10) null																																																																																																																																																																																									
ar_y5	Character	10	0	TRUE	ar_y5 varchar(10) null																																																																																																																																																																																									
ar_y6	Character	10	0	TRUE	ar_y6 varchar(10) null																																																																																																																																																																																									
ar_y7	Character	10	0	TRUE	ar_y7 varchar(10) null																																																																																																																																																																																									
inv_y1	Character	10	0	TRUE	inv_y1 varchar(10) null																																																																																																																																																																																									
inv_y2	Character	10	0	TRUE	inv_y2 varchar(10) null																																																																																																																																																																																									
inv_y3	Character	10	0	TRUE	inv_y3 varchar(10) null																																																																																																																																																																																									
inv_y4	Character	10	0	TRUE	inv_y4 varchar(10) null																																																																																																																																																																																									
inv_y5	Character	10	0	TRUE	inv_y5 varchar(10) null																																																																																																																																																																																									
inv_y6	Character	10	0	TRUE	inv_y6 varchar(10) null																																																																																																																																																																																									
inv_y7	Character	10	0	TRUE	inv_y7 varchar(10) null																																																																																																																																																																																									
