Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																		
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																																																																																																																	
cps_q1	Character	10	0	TRUE	cps_q1 varchar(10) null																																																																																																																																																																																																																	
ncps_q1	Character	10	0	TRUE	ncps_q1 varchar(10) null																																																																																																																																																																																																																	
cash_q1	Character	10	0	TRUE	cash_q1 varchar(10) null																																																																																																																																																																																																																	
cash_q2	Character	10	0	TRUE	cash_q2 varchar(10) null																																																																																																																																																																																																																	
cash_q3	Character	10	0	TRUE	cash_q3 varchar(10) null																																																																																																																																																																																																																	
cash_q4	Character	10	0	TRUE	cash_q4 varchar(10) null																																																																																																																																																																																																																	
cash_q5	Character	10	0	TRUE	cash_q5 varchar(10) null																																																																																																																																																																																																																	
cash_q6	Character	10	0	TRUE	cash_q6 varchar(10) null																																																																																																																																																																																																																	
cash_q7	Character	10	0	TRUE	cash_q7 varchar(10) null																																																																																																																																																																																																																	
cash_q8	Character	10	0	TRUE	cash_q8 varchar(10) null																																																																																																																																																																																																																	
stinv_q1	Character	10	0	TRUE	stinv_q1 varchar(10) null																																																																																																																																																																																																																	
stinv_q2	Character	10	0	TRUE	stinv_q2 varchar(10) null																																																																																																																																																																																																																	
stinv_q3	Character	10	0	TRUE	stinv_q3 varchar(10) null																																																																																																																																																																																																																	
stinv_q4	Character	10	0	TRUE	stinv_q4 varchar(10) null																																																																																																																																																																																																																	
stinv_q5	Character	10	0	TRUE	stinv_q5 varchar(10) null																																																																																																																																																																																																																	
stinv_q6	Character	10	0	TRUE	stinv_q6 varchar(10) null																																																																																																																																																																																																																	
stinv_q7	Character	10	0	TRUE	stinv_q7 varchar(10) null																																																																																																																																																																																																																	
stinv_q8	Character	10	0	TRUE	stinv_q8 varchar(10) null																																																																																																																																																																																																																	
ar_q1	Character	10	0	TRUE	ar_q1 varchar(10) null																																																																																																																																																																																																																	
ar_q2	Character	10	0	TRUE	ar_q2 varchar(10) null																																																																																																																																																																																																																	
ar_q3	Character	10	0	TRUE	ar_q3 varchar(10) null																																																																																																																																																																																																																	
ar_q4	Character	10	0	TRUE	ar_q4 varchar(10) null																																																																																																																																																																																																																	
ar_q5	Character	10	0	TRUE	ar_q5 varchar(10) null																																																																																																																																																																																																																	
ar_q6	Character	10	0	TRUE	ar_q6 varchar(10) null																																																																																																																																																																																																																	
ar_q7	Character	10	0	TRUE	ar_q7 varchar(10) null																																																																																																																																																																																																																	
ar_q8	Character	10	0	TRUE	ar_q8 varchar(10) null																																																																																																																																																																																																																	
