Name	Type	Width	Decimal	NULL																																																																																											
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																										
tco_q1	Character	8	0	TRUE	tco_q1 varchar(8) null																																																																																										
tco_q2	Character	8	0	TRUE	tco_q2 varchar(8) null																																																																																										
tco_q3	Character	8	0	TRUE	tco_q3 varchar(8) null																																																																																										
tco_q4	Character	8	0	TRUE	tco_q4 varchar(8) null																																																																																										
tco_q5	Character	8	0	TRUE	tco_q5 varchar(8) null																																																																																										
tco_q6	Character	8	0	TRUE	tco_q6 varchar(8) null																																																																																										
tco_q7	Character	8	0	TRUE	tco_q7 varchar(8) null																																																																																										
tco_q8	Character	8	0	TRUE	tco_q8 varchar(8) null																																																																																										
ce_q1	Character	8	0	TRUE	ce_q1 varchar(8) null																																																																																										
ce_q2	Character	8	0	TRUE	ce_q2 varchar(8) null																																																																																										
ce_q3	Character	8	0	TRUE	ce_q3 varchar(8) null																																																																																										
ce_q4	Character	8	0	TRUE	ce_q4 varchar(8) null																																																																																										
ce_q5	Character	8	0	TRUE	ce_q5 varchar(8) null																																																																																										
ce_q6	Character	8	0	TRUE	ce_q6 varchar(8) null																																																																																										
ce_q7	Character	8	0	TRUE	ce_q7 varchar(8) null																																																																																										
ce_q8	Character	8	0	TRUE	ce_q8 varchar(8) null																																																																																										
tci_q1	Character	8	0	TRUE	tci_q1 varchar(8) null																																																																																										
tci_q2	Character	8	0	TRUE	tci_q2 varchar(8) null																																																																																										
tci_q3	Character	8	0	TRUE	tci_q3 varchar(8) null																																																																																										
tci_q4	Character	8	0	TRUE	tci_q4 varchar(8) null																																																																																										
tci_q5	Character	8	0	TRUE	tci_q5 varchar(8) null																																																																																										
tci_q6	Character	8	0	TRUE	tci_q6 varchar(8) null																																																																																										
tci_q7	Character	8	0	TRUE	tci_q7 varchar(8) null																																																																																										
tci_q8	Character	8	0	TRUE	tci_q8 varchar(8) null																																																																																										
tcf_q1	Character	8	0	TRUE	tcf_q1 varchar(8) null																																																																																										
tcf_q2	Character	8	0	TRUE	tcf_q2 varchar(8) null																																																																																										
tcf_q3	Character	8	0	TRUE	tcf_q3 varchar(8) null																																																																																										
tcf_q4	Character	8	0	TRUE	tcf_q4 varchar(8) null																																																																																										
tcf_q5	Character	8	0	TRUE	tcf_q5 varchar(8) null																																																																																										
tcf_q6	Character	8	0	TRUE	tcf_q6 varchar(8) null																																																																																										
tcf_q7	Character	8	0	TRUE	tcf_q7 varchar(8) null																																																																																										
tcf_q8	Character	8	0	TRUE	tcf_q8 varchar(8) null																																																																																										
ere_q1	Character	8	0	TRUE	ere_q1 varchar(8) null																																																																																										
ere_q2	Character	8	0	TRUE	ere_q2 varchar(8) null																																																																																										
ere_q3	Character	8	0	TRUE	ere_q3 varchar(8) null																																																																																										
ere_q4	Character	8	0	TRUE	ere_q4 varchar(8) null																																																																																										
ere_q5	Character	8	0	TRUE	ere_q5 varchar(8) null																																																																																										
ere_q6	Character	8	0	TRUE	ere_q6 varchar(8) null																																																																																										
ere_q7	Character	8	0	TRUE	ere_q7 varchar(8) null																																																																																										
ere_q8	Character	8	0	TRUE	ere_q8 varchar(8) null																																																																																										
ncc_q1	Character	8	0	TRUE	ncc_q1 varchar(8) null																																																																																										
ncc_q2	Character	8	0	TRUE	ncc_q2 varchar(8) null																																																																																										
ncc_q3	Character	8	0	TRUE	ncc_q3 varchar(8) null																																																																																										
ncc_q4	Character	8	0	TRUE	ncc_q4 varchar(8) null																																																																																										
ncc_q5	Character	8	0	TRUE	ncc_q5 varchar(8) null																																																																																										
ncc_q6	Character	8	0	TRUE	ncc_q6 varchar(8) null																																																																																										
ncc_q7	Character	8	0	TRUE	ncc_q7 varchar(8) null																																																																																										
ncc_q8	Character	8	0	TRUE	ncc_q8 varchar(8) null																																																																																										
dep_cf_q1	Character	8	0	TRUE	dep_cf_q1 varchar(8) null																																																																																										
dep_cf_q2	Character	8	0	TRUE	dep_cf_q2 varchar(8) null																																																																																										
dep_cf_q3	Character	8	0	TRUE	dep_cf_q3 varchar(8) null																																																																																										
dep_cf_q4	Character	8	0	TRUE	dep_cf_q4 varchar(8) null																																																																																										
dep_cf_q5	Character	8	0	TRUE	dep_cf_q5 varchar(8) null																																																																																										
dep_cf_q6	Character	8	0	TRUE	dep_cf_q6 varchar(8) null																																																																																										
dep_cf_q7	Character	8	0	TRUE	dep_cf_q7 varchar(8) null																																																																																										
dep_cf_q8	Character	8	0	TRUE	dep_cf_q8 varchar(8) null																																																																																										
cfps_q1	Character	7	0	TRUE	cfps_q1 varchar(7) null																																																																																										
cfps_q2	Character	7	0	TRUE	cfps_q2 varchar(7) null																																																																																										
cfps_q3	Character	7	0	TRUE	cfps_q3 varchar(7) null																																																																																										
cfps_q4	Character	7	0	TRUE	cfps_q4 varchar(7) null																																																																																										
cfps_q5	Character	7	0	TRUE	cfps_q5 varchar(7) null																																																																																										
cfps_q6	Character	7	0	TRUE	cfps_q6 varchar(7) null																																																																																										
cfps_q7	Character	7	0	TRUE	cfps_q7 varchar(7) null																																																																																										
cfps_q8	Character	7	0	TRUE	cfps_q8 varchar(7) null																																																																																										
fcfps_q1	Character	7	0	TRUE	fcfps_q1 varchar(7) null																																																																																										
fcfps_q2	Character	7	0	TRUE	fcfps_q2 varchar(7) null																																																																																										
fcfps_q3	Character	7	0	TRUE	fcfps_q3 varchar(7) null																																																																																										
fcfps_q4	Character	7	0	TRUE	fcfps_q4 varchar(7) null																																																																																										
fcfps_q5	Character	7	0	TRUE	fcfps_q5 varchar(7) null																																																																																										
fcfps_q6	Character	7	0	TRUE	fcfps_q6 varchar(7) null																																																																																										
fcfps_q7	Character	7	0	TRUE	fcfps_q7 varchar(7) null																																																																																										
fcfps_q8	Character	7	0	TRUE	fcfps_q8 varchar(7) null																																																																																										
dcfbs_q1	Character	9	0	TRUE	dcfbs_q1 varchar(9) null																																																																																										
dcfbs_q2	Character	9	0	TRUE	dcfbs_q2 varchar(9) null																																																																																										
dcfbs_q3	Character	9	0	TRUE	dcfbs_q3 varchar(9) null																																																																																										
dcfbs_q4	Character	9	0	TRUE	dcfbs_q4 varchar(9) null																																																																																										
dcfo_q1	Character	9	0	TRUE	dcfo_q1 varchar(9) null																																																																																										
dcfo_q2	Character	9	0	TRUE	dcfo_q2 varchar(9) null																																																																																										
dcfo_q3	Character	9	0	TRUE	dcfo_q3 varchar(9) null																																																																																										
dcfo_q4	Character	9	0	TRUE	dcfo_q4 varchar(9) null																																																																																										
dcf_q1	Character	9	0	TRUE	dcf_q1 varchar(9) null																																																																																										
dcf_q2	Character	9	0	TRUE	dcf_q2 varchar(9) null																																																																																										
dcf_q3	Character	9	0	TRUE	dcf_q3 varchar(9) null																																																																																										
dcf_q4	Character	9	0	TRUE	dcf_q4 varchar(9) null																																																																																										
repno	Character	5	0	FALSE	repno varchar(5) not null																																																																																										
lastmod	Date	8	0	TRUE	lastmod date null																																																																																										
updated	Logical	1	0	TRUE	updated bit null																																																																																										
divpaid_q1	Character	8	0	TRUE	divpaid_q1 varchar(8) null																																																																																										
divpaid_q2	Character	8	0	TRUE	divpaid_q2 varchar(8) null																																																																																										
divpaid_q3	Character	8	0	TRUE	divpaid_q3 varchar(8) null																																																																																										
divpaid_q4	Character	8	0	TRUE	divpaid_q4 varchar(8) null																																																																																										
divpaid_q5	Character	8	0	TRUE	divpaid_q5 varchar(8) null																																																																																										
divpaid_q6	Character	8	0	TRUE	divpaid_q6 varchar(8) null																																																																																										
divpaid_q7	Character	8	0	TRUE	divpaid_q7 varchar(8) null																																																																																										
divpaid_q8	Character	8	0	TRUE	divpaid_q8 varchar(8) null																																																																																										
																																																																																															
