Name,Type,Width,Decimal,NULL,,,,,,,,,,,,,,,,,,,
company_id,Character,8,0,FALSE,,,"""varchar(8) not null""",,,,,,,,,,,,,,,,
company,Character,30,0,TRUE,,,"""varchar(30) null""",,,,,,,,,,,,,,,,
ticker,Character,6,0,TRUE,,,"""varchar(6) null""",,,,,,,,,,,,,,,,
exchange,Character,1,0,TRUE,,,"""varchar(1) null""",,,,,,,,,,,,,,,,
street,Character,60,0,TRUE,,,"""varchar(60) null""",,,,,,,,,,,,,,,,
city,Character,30,0,TRUE,,,"""varchar(30) null""",,,,,,,,,,,,,,,,
state,Character,2,0,TRUE,,,"""varchar(2) null""",,,,,,,,,,,,,,,,
zip,Character,10,0,TRUE,,,"""varchar(10) null""",,,,,,,,,,,,,,,,
country,Character,20,0,TRUE,,,"""varchar(20) null""",,,,,,,,,,,,,,,,
phone,Character,14,0,TRUE,,,"""varchar(14) null""",,,,,,,,,,,,,,,,
web_addr,Character,60,0,FALSE,,,"""varchar(60) not null""",,,,,,,,,,,,,,,,
business,Memo,4,0,TRUE,,,"""text null""",,,,,,,,,,,,,,,,
analyst_fn,Memo,4,0,TRUE,,,"""text null""",,,,,,,,,,,,,,,,
ind_2_dig,Character,3,0,TRUE,,,"""varchar(3) null""",,,,,,,,,,,,,,,,
ind_3_dig,Character,4,0,TRUE,,,"""varchar(4) null""",,,,,,,,,,,,,,,,
sic,Character,4,0,TRUE,,,"""varchar(4) null""",,,,,,,,,,,,,,,,
drp_avail,Logical,1,0,TRUE,,,"""bit null""",,,,,,,,,,,,,,,,
sp,Character,3,0,TRUE,,,"""varchar(3) null""",,,,,,,,,,,,,,,,
dow,Character,2,0,TRUE,,,"""varchar(2) null""",,,,,,,,,,,,,,,,
adr,Logical,1,0,TRUE,,,"""bit null""",,,,,,,,,,,,,,,,
employees,Character,9,0,TRUE,,,"""varchar(9) null""",,,,,,,,,,,,,,,,
optionable,Logical,1,0,TRUE,,,"""bit null""",,,,,,,,,,,,,,,,
repno,Character,5,0,FALSE,,,"""varchar(5) not null""",,,,,,,,,,,,,,,,
lastmod,Date,8,0,FALSE,,,"""date not null""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"""varchar(8) not null""","""varchar(30) null""","""varchar(6) null""","""varchar(1) null""","""varchar(60) null""","""varchar(30) null""","""varchar(2) null""","""varchar(10) null""","""varchar(20) null""","""varchar(14) null""","""varchar(60) not null""","""text null""","""text null""","""varchar(3) null""","""varchar(4) null""","""varchar(4) null""","""bit null""","""varchar(3) null""","""varchar(2) null""","""bit null""","""varchar(9) null""","""bit null""","""varchar(5) not null""","""date not null"""
