Name	Type	Width	Decimal	NULL																																																																												
company_id	Character	8	0	TRUE	company_id varchar(8) null																																																																											
date_ey0	Date	8	0	TRUE	date_ey0 date null																																																																											
date_eq0	Date	8	0	TRUE	date_eq0 date null																																																																											
eps_ey0	Character	12	0	TRUE	eps_ey0 varchar(12) null																																																																											
epspm_ey0	Character	12	0	TRUE	epspm_ey0 varchar(12) null																																																																											
epssd_ey0	Character	12	0	TRUE	epssd_ey0 varchar(12) null																																																																											
epsh_ey0	Character	12	0	TRUE	epsh_ey0 varchar(12) null																																																																											
epsl_ey0	Character	12	0	TRUE	epsl_ey0 varchar(12) null																																																																											
epsn_ey0	Character	4	0	TRUE	epsn_ey0 varchar(4) null																																																																											
epsum_ey0	Character	4	0	TRUE	epsum_ey0 varchar(4) null																																																																											
epsdm_ey0	Character	4	0	TRUE	epsdm_ey0 varchar(4) null																																																																											
epsdmp_ey0	Character	7	0	TRUE	epsdmp_ey0 varchar(7) null																																																																											
eps_ey1	Character	12	0	TRUE	eps_ey1 varchar(12) null																																																																											
epspm_ey1	Character	12	0	TRUE	epspm_ey1 varchar(12) null																																																																											
epssd_ey1	Character	12	0	TRUE	epssd_ey1 varchar(12) null																																																																											
epsh_ey1	Character	12	0	TRUE	epsh_ey1 varchar(12) null																																																																											
epsl_ey1	Character	12	0	TRUE	epsl_ey1 varchar(12) null																																																																											
epsn_ey1	Character	4	0	TRUE	epsn_ey1 varchar(4) null																																																																											
epsum_ey1	Character	4	0	TRUE	epsum_ey1 varchar(4) null																																																																											
epsdm_ey1	Character	4	0	TRUE	epsdm_ey1 varchar(4) null																																																																											
epsdmp_ey1	Character	7	0	TRUE	epsdmp_ey1 varchar(7) null																																																																											
eps_ey2	Character	12	0	TRUE	eps_ey2 varchar(12) null																																																																											
epspm_ey2	Character	12	0	TRUE	epspm_ey2 varchar(12) null																																																																											
epssd_ey2	Character	12	0	TRUE	epssd_ey2 varchar(12) null																																																																											
epsh_ey2	Character	12	0	TRUE	epsh_ey2 varchar(12) null																																																																											
epsl_ey2	Character	12	0	TRUE	epsl_ey2 varchar(12) null																																																																											
epsn_ey2	Character	4	0	TRUE	epsn_ey2 varchar(4) null																																																																											
epsum_ey2	Character	4	0	TRUE	epsum_ey2 varchar(4) null																																																																											
epsdm_ey2	Character	4	0	TRUE	epsdm_ey2 varchar(4) null																																																																											
epsdmp_ey2	Character	7	0	TRUE	epsdmp_ey2 varchar(7) null																																																																											
eps_eq0	Character	12	0	TRUE	eps_eq0 varchar(12) null																																																																											
epspm_eq0	Character	12	0	TRUE	epspm_eq0 varchar(12) null																																																																											
epssd_eq0	Character	12	0	TRUE	epssd_eq0 varchar(12) null																																																																											
epsh_eq0	Character	12	0	TRUE	epsh_eq0 varchar(12) null																																																																											
epsl_eq0	Character	12	0	TRUE	epsl_eq0 varchar(12) null																																																																											
epsn_eq0	Character	4	0	TRUE	epsn_eq0 varchar(4) null																																																																											
epsum_eq0	Character	4	0	TRUE	epsum_eq0 varchar(4) null																																																																											
epsdm_eq0	Character	4	0	TRUE	epsdm_eq0 varchar(4) null																																																																											
epsdmp_eq0	Character	7	0	TRUE	epsdmp_eq0 varchar(7) null																																																																											
eps_eq1	Character	12	0	TRUE	eps_eq1 varchar(12) null																																																																											
epspm_eq1	Character	12	0	TRUE	epspm_eq1 varchar(12) null																																																																											
epssd_eq1	Character	12	0	TRUE	epssd_eq1 varchar(12) null																																																																											
epsh_eq1	Character	12	0	TRUE	epsh_eq1 varchar(12) null																																																																											
epsl_eq1	Character	12	0	TRUE	epsl_eq1 varchar(12) null																																																																											
epsn_eq1	Character	4	0	TRUE	epsn_eq1 varchar(4) null																																																																											
epsum_eq1	Character	4	0	TRUE	epsum_eq1 varchar(4) null																																																																											
epsdm_eq1	Character	4	0	TRUE	epsdm_eq1 varchar(4) null																																																																											
epsdmp_eq1	Character	7	0	TRUE	epsdmp_eq1 varchar(7) null																																																																											
eps_eg5	Character	12	0	TRUE	eps_eg5 varchar(12) null																																																																											
epspm_eg5	Character	7	0	TRUE	epspm_eg5 varchar(7) null																																																																											
epssd_eg5	Character	7	0	TRUE	epssd_eg5 varchar(7) null																																																																											
epsh_eg5	Character	7	0	TRUE	epsh_eg5 varchar(7) null																																																																											
epsl_eg5	Character	7	0	TRUE	epsl_eg5 varchar(7) null																																																																											
epsn_eg5	Character	4	0	TRUE	epsn_eg5 varchar(4) null																																																																											
epsum_eg5	Character	4	0	TRUE	epsum_eg5 varchar(4) null																																																																											
epsdm_eg5	Character	4	0	TRUE	epsdm_eg5 varchar(4) null																																																																											
eps_lr	Character	12	0	TRUE	eps_lr varchar(12) null																																																																											
qs_date	Date	8	0	TRUE	qs_date date null																																																																											
qs_eps	Character	12	0	TRUE	qs_eps varchar(12) null																																																																											
qs_diff	Character	12	0	TRUE	qs_diff varchar(12) null																																																																											
qs_perc	Character	7	0	TRUE	qs_perc varchar(7) null																																																																											
qs_sd	Character	8	0	TRUE	qs_sd varchar(8) null																																																																											
qs_sue_q1	Character	7	0	TRUE	qs_sue_q1 varchar(7) null																																																																											
eps_gh1e0	Character	7	0	TRUE	eps_gh1e0 varchar(7) null																																																																											
eps_ey0ey1	Character	7	0	TRUE	eps_ey0ey1 varchar(7) null																																																																											
eps_ey1ey2	Character	7	0	TRUE	eps_ey1ey2 varchar(7) null																																																																											
eps3m_eq0	Character	12	0	TRUE	eps3m_eq0 varchar(12) null																																																																											
eps3m_eq1	Character	12	0	TRUE	eps3m_eq1 varchar(12) null																																																																											
eps3m_ey0	Character	12	0	TRUE	eps3m_ey0 varchar(12) null																																																																											
eps3m_ey1	Character	12	0	TRUE	eps3m_ey1 varchar(12) null																																																																											
eps3m_ey2	Character	12	0	TRUE	eps3m_ey2 varchar(12) null																																																																											
sq2_date	Date	8	0	TRUE	sq2_date date null																																																																											
sq2_diff	Character	12	0	TRUE	sq2_diff varchar(12) null																																																																											
eps_rq2	Character	12	0	TRUE	eps_rq2 varchar(12) null																																																																											
sq2_eps	Character	12	0	TRUE	sq2_eps varchar(12) null																																																																											
