Name	Type	Width	Decimal	NULL																																																																																																															
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																														
sales_g1f	Character	6	0	TRUE	sales_g1f varchar(6) null																																																																																																														
sales_g3f	Character	6	0	TRUE	sales_g3f varchar(6) null																																																																																																														
sales_g5f	Character	6	0	TRUE	sales_g5f varchar(6) null																																																																																																														
sales_g7f	Character	6	0	TRUE	sales_g7f varchar(6) null																																																																																																														
sales_g1t	Character	6	0	TRUE	sales_g1t varchar(6) null																																																																																																														
sales_g1q5	Character	6	0	TRUE	sales_g1q5 varchar(6) null																																																																																																														
sales_g2q6	Character	6	0	TRUE	sales_g2q6 varchar(6) null																																																																																																														
sales_g3q7	Character	6	0	TRUE	sales_g3q7 varchar(6) null																																																																																																														
sales_g4q8	Character	6	0	TRUE	sales_g4q8 varchar(6) null																																																																																																														
sales_g3ls	Character	6	0	TRUE	sales_g3ls varchar(6) null																																																																																																														
sales_g5ls	Character	6	0	TRUE	sales_g5ls varchar(6) null																																																																																																														
sales_g7r2	Character	6	0	TRUE	sales_g7r2 varchar(6) null																																																																																																														
gopinc_g1f	Character	6	0	TRUE	gopinc_g1f varchar(6) null																																																																																																														
gopinc_g3f	Character	6	0	TRUE	gopinc_g3f varchar(6) null																																																																																																														
gopinc_g5f	Character	6	0	TRUE	gopinc_g5f varchar(6) null																																																																																																														
gopinc_g7f	Character	6	0	TRUE	gopinc_g7f varchar(6) null																																																																																																														
gopin_g1t	Character	6	0	TRUE	gopin_g1t varchar(6) null																																																																																																														
gopin_g1q5	Character	6	0	TRUE	gopin_g1q5 varchar(6) null																																																																																																														
gopin_g2q6	Character	6	0	TRUE	gopin_g2q6 varchar(6) null																																																																																																														
gopin_g3q7	Character	6	0	TRUE	gopin_g3q7 varchar(6) null																																																																																																														
gopin_g4q8	Character	6	0	TRUE	gopin_g4q8 varchar(6) null																																																																																																														
pti_g1f	Character	6	0	TRUE	pti_g1f varchar(6) null																																																																																																														
pti_g3f	Character	6	0	TRUE	pti_g3f varchar(6) null																																																																																																														
pti_g5f	Character	6	0	TRUE	pti_g5f varchar(6) null																																																																																																														
pti_g7f	Character	6	0	TRUE	pti_g7f varchar(6) null																																																																																																														
pti_g1t	Character	6	0	TRUE	pti_g1t varchar(6) null																																																																																																														
pti_g1q5	Character	6	0	TRUE	pti_g1q5 varchar(6) null																																																																																																														
pti_g2q6	Character	6	0	TRUE	pti_g2q6 varchar(6) null																																																																																																														
pti_g3q7	Character	6	0	TRUE	pti_g3q7 varchar(6) null																																																																																																														
pti_g4q8	Character	6	0	TRUE	pti_g4q8 varchar(6) null																																																																																																														
opinc_g1f	Character	6	0	TRUE	opinc_g1f varchar(6) null																																																																																																														
opinc_g3f	Character	6	0	TRUE	opinc_g3f varchar(6) null																																																																																																														
opinc_g5f	Character	6	0	TRUE	opinc_g5f varchar(6) null																																																																																																														
opinc_g7f	Character	6	0	TRUE	opinc_g7f varchar(6) null																																																																																																														
opin_g1t	Character	6	0	TRUE	opin_g1t varchar(6) null																																																																																																														
opin_g1q5	Character	6	0	TRUE	opin_g1q5 varchar(6) null																																																																																																														
opin_g2q6	Character	6	0	TRUE	opin_g2q6 varchar(6) null																																																																																																														
opin_g3q7	Character	6	0	TRUE	opin_g3q7 varchar(6) null																																																																																																														
opin_g4q8	Character	6	0	TRUE	opin_g4q8 varchar(6) null																																																																																																														
netinc_g1f	Character	6	0	TRUE	netinc_g1f varchar(6) null																																																																																																														
netinc_g3f	Character	6	0	TRUE	netinc_g3f varchar(6) null																																																																																																														
netinc_g5f	Character	6	0	TRUE	netinc_g5f varchar(6) null																																																																																																														
netinc_g7f	Character	6	0	TRUE	netinc_g7f varchar(6) null																																																																																																														
netin_g1t	Character	6	0	TRUE	netin_g1t varchar(6) null																																																																																																														
netin_g1q5	Character	6	0	TRUE	netin_g1q5 varchar(6) null																																																																																																														
netin_g2q6	Character	6	0	TRUE	netin_g2q6 varchar(6) null																																																																																																														
netin_g3q7	Character	6	0	TRUE	netin_g3q7 varchar(6) null																																																																																																														
netin_g4q8	Character	6	0	TRUE	netin_g4q8 varchar(6) null																																																																																																														
eps_g1f	Character	6	0	TRUE	eps_g1f varchar(6) null																																																																																																														
eps_g3f	Character	6	0	TRUE	eps_g3f varchar(6) null																																																																																																														
eps_g5f	Character	6	0	TRUE	eps_g5f varchar(6) null																																																																																																														
eps_g7f	Character	6	0	TRUE	eps_g7f varchar(6) null																																																																																																														
eps_g1t	Character	6	0	TRUE	eps_g1t varchar(6) null																																																																																																														
eps_g1q5	Character	6	0	TRUE	eps_g1q5 varchar(6) null																																																																																																														
eps_g2q6	Character	6	0	TRUE	eps_g2q6 varchar(6) null																																																																																																														
eps_g3q7	Character	6	0	TRUE	eps_g3q7 varchar(6) null																																																																																																														
eps_g4q8	Character	6	0	TRUE	eps_g4q8 varchar(6) null																																																																																																														
epsc_g1f	Character	6	0	TRUE	epsc_g1f varchar(6) null																																																																																																														
epsc_g3f	Character	6	0	TRUE	epsc_g3f varchar(6) null																																																																																																														
epsc_g5f	Character	6	0	TRUE	epsc_g5f varchar(6) null																																																																																																														
epsc_g7f	Character	6	0	TRUE	epsc_g7f varchar(6) null																																																																																																														
epsc_g1t	Character	6	0	TRUE	epsc_g1t varchar(6) null																																																																																																														
epsc_g1q5	Character	6	0	TRUE	epsc_g1q5 varchar(6) null																																																																																																														
epsc_g2q6	Character	6	0	TRUE	epsc_g2q6 varchar(6) null																																																																																																														
epsc_g3q7	Character	6	0	TRUE	epsc_g3q7 varchar(6) null																																																																																																														
epsc_g4q8	Character	6	0	TRUE	epsc_g4q8 varchar(6) null																																																																																																														
epsc_g2y3	Character	6	0	TRUE	epsc_g2y3 varchar(6) null																																																																																																														
epsc_g3y4	Character	6	0	TRUE	epsc_g3y4 varchar(6) null																																																																																																														
epsc_g3ls	Character	6	0	TRUE	epsc_g3ls varchar(6) null																																																																																																														
epsc_g5ls	Character	6	0	TRUE	epsc_g5ls varchar(6) null																																																																																																														
epsc_g7r2	Character	6	0	TRUE	epsc_g7r2 varchar(6) null																																																																																																														
epsd_g1f	Character	6	0	TRUE	epsd_g1f varchar(6) null																																																																																																														
epsd_g3f	Character	6	0	TRUE	epsd_g3f varchar(6) null																																																																																																														
epsd_g5f	Character	6	0	TRUE	epsd_g5f varchar(6) null																																																																																																														
epsd_g7f	Character	6	0	TRUE	epsd_g7f varchar(6) null																																																																																																														
epsd_g1t	Character	6	0	TRUE	epsd_g1t varchar(6) null																																																																																																														
epsd_g1q5	Character	6	0	TRUE	epsd_g1q5 varchar(6) null																																																																																																														
epsd_g2q6	Character	6	0	TRUE	epsd_g2q6 varchar(6) null																																																																																																														
epsd_g3q7	Character	6	0	TRUE	epsd_g3q7 varchar(6) null																																																																																																														
epsd_g4q8	Character	6	0	TRUE	epsd_g4q8 varchar(6) null																																																																																																														
epsdc_g1f	Character	6	0	TRUE	epsdc_g1f varchar(6) null																																																																																																														
