Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																												
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																																																																																																																											
sales_q1	Character	8	0	TRUE	sales_q1 varchar(8) null																																																																																																																																																																																																																											
sales_q2	Character	8	0	TRUE	sales_q2 varchar(8) null																																																																																																																																																																																																																											
sales_q3	Character	8	0	TRUE	sales_q3 varchar(8) null																																																																																																																																																																																																																											
sales_q4	Character	8	0	TRUE	sales_q4 varchar(8) null																																																																																																																																																																																																																											
sales_q5	Character	8	0	TRUE	sales_q5 varchar(8) null																																																																																																																																																																																																																											
sales_q6	Character	8	0	TRUE	sales_q6 varchar(8) null																																																																																																																																																																																																																											
sales_q7	Character	8	0	TRUE	sales_q7 varchar(8) null																																																																																																																																																																																																																											
sales_q8	Character	8	0	TRUE	sales_q8 varchar(8) null																																																																																																																																																																																																																											
cgs_q1	Character	8	0	TRUE	cgs_q1 varchar(8) null																																																																																																																																																																																																																											
cgs_q2	Character	8	0	TRUE	cgs_q2 varchar(8) null																																																																																																																																																																																																																											
cgs_q3	Character	8	0	TRUE	cgs_q3 varchar(8) null																																																																																																																																																																																																																											
cgs_q4	Character	8	0	TRUE	cgs_q4 varchar(8) null																																																																																																																																																																																																																											
cgs_q5	Character	8	0	TRUE	cgs_q5 varchar(8) null																																																																																																																																																																																																																											
cgs_q6	Character	8	0	TRUE	cgs_q6 varchar(8) null																																																																																																																																																																																																																											
cgs_q7	Character	8	0	TRUE	cgs_q7 varchar(8) null																																																																																																																																																																																																																											
cgs_q8	Character	8	0	TRUE	cgs_q8 varchar(8) null																																																																																																																																																																																																																											
gross_q1	Character	8	0	TRUE	gross_q1 varchar(8) null																																																																																																																																																																																																																											
gross_q2	Character	8	0	TRUE	gross_q2 varchar(8) null																																																																																																																																																																																																																											
gross_q3	Character	8	0	TRUE	gross_q3 varchar(8) null																																																																																																																																																																																																																											
gross_q4	Character	8	0	TRUE	gross_q4 varchar(8) null																																																																																																																																																																																																																											
gross_q5	Character	8	0	TRUE	gross_q5 varchar(8) null																																																																																																																																																																																																																											
gross_q6	Character	8	0	TRUE	gross_q6 varchar(8) null																																																																																																																																																																																																																											
gross_q7	Character	8	0	TRUE	gross_q7 varchar(8) null																																																																																																																																																																																																																											
gross_q8	Character	8	0	TRUE	gross_q8 varchar(8) null																																																																																																																																																																																																																											
dep_q1	Character	8	0	TRUE	dep_q1 varchar(8) null																																																																																																																																																																																																																											
dep_q2	Character	8	0	TRUE	dep_q2 varchar(8) null																																																																																																																																																																																																																											
dep_q3	Character	8	0	TRUE	dep_q3 varchar(8) null																																																																																																																																																																																																																											
dep_q4	Character	8	0	TRUE	dep_q4 varchar(8) null																																																																																																																																																																																																																											
dep_q5	Character	8	0	TRUE	dep_q5 varchar(8) null																																																																																																																																																																																																																											
dep_q6	Character	8	0	TRUE	dep_q6 varchar(8) null																																																																																																																																																																																																																											
dep_q7	Character	8	0	TRUE	dep_q7 varchar(8) null																																																																																																																																																																																																																											
dep_q8	Character	8	0	TRUE	dep_q8 varchar(8) null																																																																																																																																																																																																																											
rd_q1	Character	8	0	TRUE	rd_q1 varchar(8) null																																																																																																																																																																																																																											
rd_q2	Character	8	0	TRUE	rd_q2 varchar(8) null																																																																																																																																																																																																																											
rd_q3	Character	8	0	TRUE	rd_q3 varchar(8) null																																																																																																																																																																																																																											
rd_q4	Character	8	0	TRUE	rd_q4 varchar(8) null																																																																																																																																																																																																																											
rd_q5	Character	8	0	TRUE	rd_q5 varchar(8) null																																																																																																																																																																																																																											
rd_q6	Character	8	0	TRUE	rd_q6 varchar(8) null																																																																																																																																																																																																																											
rd_q7	Character	8	0	TRUE	rd_q7 varchar(8) null																																																																																																																																																																																																																											
rd_q8	Character	8	0	TRUE	rd_q8 varchar(8) null																																																																																																																																																																																																																											
int_q1	Character	8	0	TRUE	int_q1 varchar(8) null																																																																																																																																																																																																																											
int_q2	Character	8	0	TRUE	int_q2 varchar(8) null																																																																																																																																																																																																																											
