Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																																																								
indcode	Character	4	0	TRUE	indcode varchar(4) null																																																																																																																																																																																																																																																							
pe	Numeric	5	1	TRUE	"pe decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_ey0	Numeric	5	1	TRUE	"pe_ey0 decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_ey1	Numeric	5	1	TRUE	"pe_ey1 decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_ey2	Numeric	5	1	TRUE	"pe_ey2 decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_1t	Numeric	5	1	TRUE	"pe_1t decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_a3y	Numeric	5	1	TRUE	"pe_a3y decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_a5y	Numeric	5	1	TRUE	"pe_a5y decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_a7y	Numeric	5	1	TRUE	"pe_a7y decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y1	Numeric	5	1	TRUE	"pea_y1 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y2	Numeric	5	1	TRUE	"pea_y2 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y3	Numeric	5	1	TRUE	"pea_y3 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y4	Numeric	5	1	TRUE	"pea_y4 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y5	Numeric	5	1	TRUE	"pea_y5 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y6	Numeric	5	1	TRUE	"pea_y6 decimal(5,1) null"																																																																																																																																																																																																																																																							
pea_y7	Numeric	5	1	TRUE	"pea_y7 decimal(5,1) null"																																																																																																																																																																																																																																																							
peh_a3y	Numeric	6	1	TRUE	"peh_a3y decimal(6,1) null"																																																																																																																																																																																																																																																							
peh_a5y	Numeric	6	1	TRUE	"peh_a5y decimal(6,1) null"																																																																																																																																																																																																																																																							
peh_a7y	Numeric	6	1	TRUE	"peh_a7y decimal(6,1) null"																																																																																																																																																																																																																																																							
pel_a3y	Numeric	6	1	TRUE	"pel_a3y decimal(6,1) null"																																																																																																																																																																																																																																																							
pel_a5y	Numeric	6	1	TRUE	"pel_a5y decimal(6,1) null"																																																																																																																																																																																																																																																							
pel_a7y	Numeric	6	1	TRUE	"pel_a7y decimal(6,1) null"																																																																																																																																																																																																																																																							
pe_aeps3y	Numeric	5	1	TRUE	"pe_aeps3y decimal(5,1) null"																																																																																																																																																																																																																																																							
pbvps	Numeric	6	2	TRUE	"pbvps decimal(6,2) null"																																																																																																																																																																																																																																																							
pbvps_1t	Numeric	6	2	TRUE	"pbvps_1t decimal(6,2) null"																																																																																																																																																																																																																																																							
pbvps_a3y	Numeric	6	2	TRUE	"pbvps_a3y decimal(6,2) null"																																																																																																																																																																																																																																																							
pbvps_a5y	Numeric	6	2	TRUE	"pbvps_a5y decimal(6,2) null"																																																																																																																																																																																																																																																							
pbvps_a7y	Numeric	6	2	TRUE	"pbvps_a7y decimal(6,2) null"																																																																																																																																																																																																																																																							
psps	Numeric	7	2	TRUE	"psps decimal(7,2) null"																																																																																																																																																																																																																																																							
psps_1t	Numeric	7	2	TRUE	"psps_1t decimal(7,2) null"																																																																																																																																																																																																																																																							
psps_a3y	Numeric	7	2	TRUE	"psps_a3y decimal(7,2) null"																																																																																																																																																																																																																																																							
psps_a5y	Numeric	7	2	TRUE	"psps_a5y decimal(7,2) null"																																																																																																																																																																																																																																																							
psps_a7y	Numeric	7	2	TRUE	"psps_a7y decimal(7,2) null"																																																																																																																																																																																																																																																							
pcfps	Numeric	5	1	TRUE	"pcfps decimal(5,1) null"																																																																																																																																																																																																																																																							
pcfps_1t	Numeric	5	1	TRUE	"pcfps_1t decimal(5,1) null"																																																																																																																																																																																																																																																							
pcfps_a3y	Numeric	5	1	TRUE	"pcfps_a3y decimal(5,1) null"																																																																																																																																																																																																																																																							
pcfps_a5y	Numeric	5	1	TRUE	"pcfps_a5y decimal(5,1) null"																																																																																																																																																																																																																																																							
pcfps_a7y	Numeric	5	1	TRUE	"pcfps_a7y decimal(5,1) null"																																																																																																																																																																																																																																																							
pfcps	Numeric	5	1	TRUE	"pfcps decimal(5,1) null"																																																																																																																																																																																																																																																							
pfcps_1t	Numeric	5	1	TRUE	"pfcps_1t decimal(5,1) null"																																																																																																																																																																																																																																																							
pfcps_a3y	Numeric	5	1	TRUE	"pfcps_a3y decimal(5,1) null"																																																																																																																																																																																																																																																							
pfcps_a5y	Numeric	5	1	TRUE	"pfcps_a5y decimal(5,1) null"																																																																																																																																																																																																																																																							
pfcps_a7y	Numeric	5	1	TRUE	"pfcps_a7y decimal(5,1) null"																																																																																																																																																																																																																																																							
yield	Numeric	5	1	TRUE	"yield decimal(5,1) null"																																																																																																																																																																																																																																																							
yield_1t	Numeric	5	1	TRUE	"yield_1t decimal(5,1) null"																																																																																																																																																																																																																																																							
yield_a3y	Numeric	5	1	TRUE	"yield_a3y decimal(5,1) null"																																																																																																																																																																																																																																																							
yield_a5y	Numeric	5	1	TRUE	"yield_a5y decimal(5,1) null"																																																																																																																																																																																																																																																							
yield_a7y	Numeric	5	1	TRUE	"yield_a7y decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_to_g5f	Numeric	5	1	TRUE	"pe_to_g5f decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_to_g5e	Numeric	5	1	TRUE	"pe_to_g5e decimal(5,1) null"																																																																																																																																																																																																																																																							
pe_to_dg5f	Numeric	5	1	TRUE	"pe_to_dg5f decimal(5,1) null"																																																																																																																																																																																																																																																							
sales_g1f	Numeric	6	1	TRUE	"sales_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
sales_g3f	Numeric	6	1	TRUE	"sales_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
sales_g5f	Numeric	6	1	TRUE	"sales_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
sales_g7f	Numeric	6	1	TRUE	"sales_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
sales_g1t	Numeric	6	1	TRUE	"sales_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g1f	Numeric	6	1	TRUE	"gopinc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g3f	Numeric	6	1	TRUE	"gopinc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g5f	Numeric	6	1	TRUE	"gopinc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopinc_g7f	Numeric	6	1	TRUE	"gopinc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
gopin_g1t	Numeric	6	1	TRUE	"gopin_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g1f	Numeric	6	1	TRUE	"netinc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g3f	Numeric	6	1	TRUE	"netinc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g5f	Numeric	6	1	TRUE	"netinc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
netinc_g7f	Numeric	6	1	TRUE	"netinc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
netin_g1t	Numeric	6	1	TRUE	"netin_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g1f	Numeric	6	1	TRUE	"eps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g3f	Numeric	6	1	TRUE	"eps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g5f	Numeric	6	1	TRUE	"eps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g7f	Numeric	6	1	TRUE	"eps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
eps_g1t	Numeric	6	1	TRUE	"eps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g1f	Numeric	6	1	TRUE	"epsc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g3f	Numeric	6	1	TRUE	"epsc_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g5f	Numeric	6	1	TRUE	"epsc_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g7f	Numeric	6	1	TRUE	"epsc_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
epsc_g1t	Numeric	6	1	TRUE	"epsc_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g1f	Numeric	6	1	TRUE	"cfps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g3f	Numeric	6	1	TRUE	"cfps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g5f	Numeric	6	1	TRUE	"cfps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g7f	Numeric	6	1	TRUE	"cfps_g7f decimal(6,1) null"																																																																																																																																																																																																																																																							
cfps_g1t	Numeric	6	1	TRUE	"cfps_g1t decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g1f	Numeric	6	1	TRUE	"fcfps_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g3f	Numeric	6	1	TRUE	"fcfps_g3f decimal(6,1) null"																																																																																																																																																																																																																																																							
fcfps_g5f	Numeric	6	1	TRUE	"fcfps_g5f decimal(6,1) null"																																																																																																																																																																																																																																																							
