Name	Type	Width	Decimal	NULL																																																																																																																																																
company_id	Character	8	0	TRUE	company_id varchar(8) null																																																																																																																																															
pe	Character	5	0	TRUE	pe varchar(5) null																																																																																																																																															
pe_ey0	Character	5	0	TRUE	pe_ey0 varchar(5) null																																																																																																																																															
pe_ey1	Character	5	0	TRUE	pe_ey1 varchar(5) null																																																																																																																																															
pe_ey2	Character	5	0	TRUE	pe_ey2 varchar(5) null																																																																																																																																															
pe_1t	Character	5	0	TRUE	pe_1t varchar(5) null																																																																																																																																															
pe_a3y	Character	5	0	TRUE	pe_a3y varchar(5) null																																																																																																																																															
pe_a5y	Character	5	0	TRUE	pe_a5y varchar(5) null																																																																																																																																															
pe_a7y	Character	5	0	TRUE	pe_a7y varchar(5) null																																																																																																																																															
pea_y1	Character	5	0	TRUE	pea_y1 varchar(5) null																																																																																																																																															
pea_y2	Character	5	0	TRUE	pea_y2 varchar(5) null																																																																																																																																															
pea_y3	Character	5	0	TRUE	pea_y3 varchar(5) null																																																																																																																																															
pea_y4	Character	5	0	TRUE	pea_y4 varchar(5) null																																																																																																																																															
pea_y5	Character	5	0	TRUE	pea_y5 varchar(5) null																																																																																																																																															
pea_y6	Character	5	0	TRUE	pea_y6 varchar(5) null																																																																																																																																															
pea_y7	Character	5	0	TRUE	pea_y7 varchar(5) null																																																																																																																																															
peh_a3y	Character	5	0	TRUE	peh_a3y varchar(5) null																																																																																																																																															
peh_a5y	Character	5	0	TRUE	peh_a5y varchar(5) null																																																																																																																																															
peh_a7y	Character	5	0	TRUE	peh_a7y varchar(5) null																																																																																																																																															
pel_a3y	Character	5	0	TRUE	pel_a3y varchar(5) null																																																																																																																																															
pel_a5y	Character	5	0	TRUE	pel_a5y varchar(5) null																																																																																																																																															
pel_a7y	Character	5	0	TRUE	pel_a7y varchar(5) null																																																																																																																																															
pbvps	Character	6	0	TRUE	pbvps varchar(6) null																																																																																																																																															
pbvps_1t	Character	6	0	TRUE	pbvps_1t varchar(6) null																																																																																																																																															
pbvps_a3y	Character	6	0	TRUE	pbvps_a3y varchar(6) null																																																																																																																																															
pbvps_a5y	Character	6	0	TRUE	pbvps_a5y varchar(6) null																																																																																																																																															
pbvps_a7y	Character	6	0	TRUE	pbvps_a7y varchar(6) null																																																																																																																																															
pbvpsa_y1	Character	6	0	TRUE	pbvpsa_y1 varchar(6) null																																																																																																																																															
pbvpsa_y2	Character	6	0	TRUE	pbvpsa_y2 varchar(6) null																																																																																																																																															
pbvpsa_y3	Character	6	0	TRUE	pbvpsa_y3 varchar(6) null																																																																																																																																															
pbvpsa_y4	Character	6	0	TRUE	pbvpsa_y4 varchar(6) null																																																																																																																																															
pbvpsa_y5	Character	6	0	TRUE	pbvpsa_y5 varchar(6) null																																																																																																																																															
pbvpsa_y6	Character	6	0	TRUE	pbvpsa_y6 varchar(6) null																																																																																																																																															
pbvpsa_y7	Character	6	0	TRUE	pbvpsa_y7 varchar(6) null																																																																																																																																															
psps	Character	6	0	TRUE	psps varchar(6) null																																																																																																																																															
psps_1t	Character	6	0	TRUE	psps_1t varchar(6) null																																																																																																																																															
psps_a3y	Character	6	0	TRUE	psps_a3y varchar(6) null																																																																																																																																															
psps_a5y	Character	6	0	TRUE	psps_a5y varchar(6) null																																																																																																																																															
psps_a7y	Character	6	0	TRUE	psps_a7y varchar(6) null																																																																																																																																															
pspsa_y1	Character	6	0	TRUE	pspsa_y1 varchar(6) null																																																																																																																																															
pspsa_y2	Character	6	0	TRUE	pspsa_y2 varchar(6) null																																																																																																																																															
pspsa_y3	Character	6	0	TRUE	pspsa_y3 varchar(6) null																																																																																																																																															
pspsa_y4	Character	6	0	TRUE	pspsa_y4 varchar(6) null																																																																																																																																															
pspsa_y5	Character	6	0	TRUE	pspsa_y5 varchar(6) null																																																																																																																																															
pspsa_y6	Character	6	0	TRUE	pspsa_y6 varchar(6) null																																																																																																																																															
pspsa_y7	Character	6	0	TRUE	pspsa_y7 varchar(6) null																																																																																																																																															
pcfps	Character	5	0	TRUE	pcfps varchar(5) null																																																																																																																																															
pcfps_1t	Character	5	0	TRUE	pcfps_1t varchar(5) null																																																																																																																																															
pcfps_a3y	Character	5	0	TRUE	pcfps_a3y varchar(5) null																																																																																																																																															
pcfps_a5y	Character	5	0	TRUE	pcfps_a5y varchar(5) null																																																																																																																																															
pcfps_a7y	Character	5	0	TRUE	pcfps_a7y varchar(5) null																																																																																																																																															
pcfpsa_y1	Character	5	0	TRUE	pcfpsa_y1 varchar(5) null																																																																																																																																															
pcfpsa_y2	Character	5	0	TRUE	pcfpsa_y2 varchar(5) null																																																																																																																																															
pcfpsa_y3	Character	5	0	TRUE	pcfpsa_y3 varchar(5) null																																																																																																																																															
pcfpsa_y4	Character	5	0	TRUE	pcfpsa_y4 varchar(5) null																																																																																																																																															
pcfpsa_y5	Character	5	0	TRUE	pcfpsa_y5 varchar(5) null																																																																																																																																															
pcfpsa_y6	Character	5	0	TRUE	pcfpsa_y6 varchar(5) null																																																																																																																																															
pcfpsa_y7	Character	5	0	TRUE	pcfpsa_y7 varchar(5) null																																																																																																																																															
pfcps	Character	5	0	TRUE	pfcps varchar(5) null																																																																																																																																															
pfcps_1t	Character	5	0	TRUE	pfcps_1t varchar(5) null																																																																																																																																															
pfcps_a3y	Character	5	0	TRUE	pfcps_a3y varchar(5) null																																																																																																																																															
pfcps_a5y	Character	5	0	TRUE	pfcps_a5y varchar(5) null																																																																																																																																															
pfcps_a7y	Character	5	0	TRUE	pfcps_a7y varchar(5) null																																																																																																																																															
pfcpsa_y1	Character	5	0	TRUE	pfcpsa_y1 varchar(5) null																																																																																																																																															
pfcpsa_y2	Character	5	0	TRUE	pfcpsa_y2 varchar(5) null																																																																																																																																															
pfcpsa_y3	Character	5	0	TRUE	pfcpsa_y3 varchar(5) null																																																																																																																																															
pfcpsa_y4	Character	5	0	TRUE	pfcpsa_y4 varchar(5) null																																																																																																																																															
pfcpsa_y5	Character	5	0	TRUE	pfcpsa_y5 varchar(5) null																																																																																																																																															
pfcpsa_y6	Character	5	0	TRUE	pfcpsa_y6 varchar(5) null																																																																																																																																															
pfcpsa_y7	Character	5	0	TRUE	pfcpsa_y7 varchar(5) null																																																																																																																																															
yield	Character	5	0	TRUE	yield varchar(5) null																																																																																																																																															
yield_1t	Character	5	0	TRUE	yield_1t varchar(5) null																																																																																																																																															
yield_a3y	Character	5	0	TRUE	yield_a3y varchar(5) null																																																																																																																																															
yield_a5y	Character	5	0	TRUE	yield_a5y varchar(5) null																																																																																																																																															
yield_a7y	Character	5	0	TRUE	yield_a7y varchar(5) null																																																																																																																																															
yielda_y1	Character	5	0	TRUE	yielda_y1 varchar(5) null																																																																																																																																															
yielda_y2	Character	5	0	TRUE	yielda_y2 varchar(5) null																																																																																																																																															
yielda_y3	Character	5	0	TRUE	yielda_y3 varchar(5) null																																																																																																																																															
yielda_y4	Character	5	0	TRUE	yielda_y4 varchar(5) null																																																																																																																																															
yielda_y5	Character	5	0	TRUE	yielda_y5 varchar(5) null																																																																																																																																															
yielda_y6	Character	5	0	TRUE	yielda_y6 varchar(5) null																																																																																																																																															
yielda_y7	Character	5	0	TRUE	yielda_y7 varchar(5) null																																																																																																																																															
pe_to_g5f	Character	5	0	TRUE	pe_to_g5f varchar(5) null																																																																																																																																															
pe_to_g5e	Character	5	0	TRUE	pe_to_g5e varchar(5) null																																																																																																																																															
pe_to_dg5f	Character	5	0	TRUE	pe_to_dg5f varchar(5) null																																																																																																																																															
pe_aeps3y	Character	5	0	TRUE	pe_aeps3y varchar(5) null																																																																																																																																															
pgfps	Character	6	0	TRUE	pgfps varchar(6) null																																																																																																																																															
iw_rv	Character	6	0	TRUE	iw_rv varchar(6) null																																																																																																																																															
iw_eyield	Character	5	0	TRUE	iw_eyield varchar(5) null																																																																																																																																															
pe_to_yg5e	Character	5	0	TRUE	pe_to_yg5e varchar(5) null																																																																																																																																															
eyield_12m	Character	8	0	TRUE	eyield_12m varchar(8) null																																																																																																																																															
thumb	Character	7	0	TRUE	thumb varchar(7) null																																																																																																																																															
peh_y1	Character	8	0	TRUE	peh_y1 varchar(8) null																																																																																																																																															
peh_y2	Character	8	0	TRUE	peh_y2 varchar(8) null																																																																																																																																															
peh_y3	Character	8	0	TRUE	peh_y3 varchar(8) null																																																																																																																																															
peh_y4	Character	8	0	TRUE	peh_y4 varchar(8) null																																																																																																																																															
peh_y5	Character	8	0	TRUE	peh_y5 varchar(8) null																																																																																																																																															
pel_y1	Character	8	0	TRUE	pel_y1 varchar(8) null																																																																																																																																															
pel_y2	Character	8	0	TRUE	pel_y2 varchar(8) null																																																																																																																																															
pel_y3	Character	8	0	TRUE	pel_y3 varchar(8) null																																																																																																																																															
pel_y4	Character	8	0	TRUE	pel_y4 varchar(8) null																																																																																																																																															
