Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																		
company_id	Character	8	0	TRUE	company_id varchar(8) null																																																																																																																																																																																																																	
rpe	Character	3	0	TRUE	rpe varchar(3) null																																																																																																																																																																																																																	
rpe_ey0	Character	3	0	TRUE	rpe_ey0 varchar(3) null																																																																																																																																																																																																																	
rpe_ey1	Character	3	0	TRUE	rpe_ey1 varchar(3) null																																																																																																																																																																																																																	
rpe_ey2	Character	3	0	TRUE	rpe_ey2 varchar(3) null																																																																																																																																																																																																																	
rpe_1t	Character	3	0	TRUE	rpe_1t varchar(3) null																																																																																																																																																																																																																	
rpe_a3y	Character	3	0	TRUE	rpe_a3y varchar(3) null																																																																																																																																																																																																																	
rpe_a5y	Character	3	0	TRUE	rpe_a5y varchar(3) null																																																																																																																																																																																																																	
rpe_a7y	Character	3	0	TRUE	rpe_a7y varchar(3) null																																																																																																																																																																																																																	
rpea_y1	Character	3	0	TRUE	rpea_y1 varchar(3) null																																																																																																																																																																																																																	
rpea_y2	Character	3	0	TRUE	rpea_y2 varchar(3) null																																																																																																																																																																																																																	
rpea_y3	Character	3	0	TRUE	rpea_y3 varchar(3) null																																																																																																																																																																																																																	
rpea_y4	Character	3	0	TRUE	rpea_y4 varchar(3) null																																																																																																																																																																																																																	
rpea_y5	Character	3	0	TRUE	rpea_y5 varchar(3) null																																																																																																																																																																																																																	
rpeh_a3y	Character	3	0	TRUE	rpeh_a3y varchar(3) null																																																																																																																																																																																																																	
rpeh_a5y	Character	3	0	TRUE	rpeh_a5y varchar(3) null																																																																																																																																																																																																																	
rpeh_a7y	Character	3	0	TRUE	rpeh_a7y varchar(3) null																																																																																																																																																																																																																	
rpel_a3y	Character	3	0	TRUE	rpel_a3y varchar(3) null																																																																																																																																																																																																																	
rpel_a5y	Character	3	0	TRUE	rpel_a5y varchar(3) null																																																																																																																																																																																																																	
rpel_a7y	Character	3	0	TRUE	rpel_a7y varchar(3) null																																																																																																																																																																																																																	
rpe_aeps3y	Character	3	0	TRUE	rpe_aeps3y varchar(3) null																																																																																																																																																																																																																	
rpbvps	Character	3	0	TRUE	rpbvps varchar(3) null																																																																																																																																																																																																																	
rpbvps_1t	Character	3	0	TRUE	rpbvps_1t varchar(3) null																																																																																																																																																																																																																	
rpbvps_a3y	Character	3	0	TRUE	rpbvps_a3y varchar(3) null																																																																																																																																																																																																																	
rpbvps_a5y	Character	3	0	TRUE	rpbvps_a5y varchar(3) null																																																																																																																																																																																																																	
rpbvps_a7y	Character	3	0	TRUE	rpbvps_a7y varchar(3) null																																																																																																																																																																																																																	
rpsps	Character	3	0	TRUE	rpsps varchar(3) null																																																																																																																																																																																																																	
rpsps_1t	Character	3	0	TRUE	rpsps_1t varchar(3) null																																																																																																																																																																																																																	
rpsps_a3y	Character	3	0	TRUE	rpsps_a3y varchar(3) null																																																																																																																																																																																																																	
rpsps_a5y	Character	3	0	TRUE	rpsps_a5y varchar(3) null																																																																																																																																																																																																																	
rpsps_a7y	Character	3	0	TRUE	rpsps_a7y varchar(3) null																																																																																																																																																																																																																	
rpcfps	Character	3	0	TRUE	rpcfps varchar(3) null																																																																																																																																																																																																																	
rpcfps_1t	Character	3	0	TRUE	rpcfps_1t varchar(3) null																																																																																																																																																																																																																	
rpcfps_a3y	Character	3	0	TRUE	rpcfps_a3y varchar(3) null																																																																																																																																																																																																																	
rpcfps_a5y	Character	3	0	TRUE	rpcfps_a5y varchar(3) null																																																																																																																																																																																																																	
rpcfps_a7y	Character	3	0	TRUE	rpcfps_a7y varchar(3) null																																																																																																																																																																																																																	
rpfcps	Character	3	0	TRUE	rpfcps varchar(3) null																																																																																																																																																																																																																	
rpfcps_1t	Character	3	0	TRUE	rpfcps_1t varchar(3) null																																																																																																																																																																																																																	
rpfcps_a3y	Character	3	0	TRUE	rpfcps_a3y varchar(3) null																																																																																																																																																																																																																	
