Name	Type	Width	Decimal	NULL																																																																																										
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																									
split_date	Date	8	0	TRUE	split_date date null																																																																																									
split_fact	Character	11	0	TRUE	split_fact varchar(11) null																																																																																									
price_date	Date	8	0	TRUE	price_date date null																																																																																									
price	Character	14	0	TRUE	price varchar(14) null																																																																																									
priceh_52w	Character	14	0	TRUE	priceh_52w varchar(14) null																																																																																									
pricel_52w	Character	14	0	TRUE	pricel_52w varchar(14) null																																																																																									
pr_prh_52w	Character	5	0	TRUE	pr_prh_52w varchar(5) null																																																																																									
prchg_04w	Character	9	0	TRUE	prchg_04w varchar(9) null																																																																																									
prchg_13w	Character	9	0	TRUE	prchg_13w varchar(9) null																																																																																									
prchg_26w	Character	9	0	TRUE	prchg_26w varchar(9) null																																																																																									
prchg_52w	Character	9	0	TRUE	prchg_52w varchar(9) null																																																																																									
rs_04w	Character	8	0	TRUE	rs_04w varchar(8) null																																																																																									
rs_13w	Character	8	0	TRUE	rs_13w varchar(8) null																																																																																									
rs_26w	Character	8	0	TRUE	rs_26w varchar(8) null																																																																																									
rs_52w	Character	8	0	TRUE	rs_52w varchar(8) null																																																																																									
rsw_4q	Character	5	0	TRUE	rsw_4q varchar(5) null																																																																																									
shr_aq1	Character	8	0	TRUE	shr_aq1 varchar(8) null																																																																																									
shr_aq2	Character	8	0	TRUE	shr_aq2 varchar(8) null																																																																																									
shr_aq3	Character	8	0	TRUE	shr_aq3 varchar(8) null																																																																																									
shr_aq4	Character	8	0	TRUE	shr_aq4 varchar(8) null																																																																																									
shr_aq5	Character	8	0	TRUE	shr_aq5 varchar(8) null																																																																																									
shr_aq6	Character	8	0	TRUE	shr_aq6 varchar(8) null																																																																																									
shr_aq7	Character	8	0	TRUE	shr_aq7 varchar(8) null																																																																																									
shr_aq8	Character	8	0	TRUE	shr_aq8 varchar(8) null																																																																																									
shr_ay1	Character	8	0	TRUE	shr_ay1 varchar(8) null																																																																																									
shr_ay2	Character	8	0	TRUE	shr_ay2 varchar(8) null																																																																																									
shr_ay3	Character	8	0	TRUE	shr_ay3 varchar(8) null																																																																																									
shr_ay4	Character	8	0	TRUE	shr_ay4 varchar(8) null																																																																																									
shr_ay5	Character	8	0	TRUE	shr_ay5 varchar(8) null																																																																																									
shr_ay6	Character	8	0	TRUE	shr_ay6 varchar(8) null																																																																																									
shr_ay7	Character	8	0	TRUE	shr_ay7 varchar(8) null																																																																																									
avm_03m	Character	10	0	TRUE	avm_03m varchar(10) null																																																																																									
avd_10d	Character	10	0	TRUE	avd_10d varchar(10) null																																																																																									
shsperadr	Character	10	0	TRUE	shsperadr varchar(10) null																																																																																									
shrinst	Character	5	0	TRUE	shrinst varchar(5) null																																																																																									
shrinstn	Character	9	0	TRUE	shrinstn varchar(9) null																																																																																									
instps	Character	10	0	TRUE	instps varchar(10) null																																																																																									
instss	Character	10	0	TRUE	instss varchar(10) null																																																																																									
shrinsd	Character	5	0	TRUE	shrinsd varchar(5) null																																																																																									
insdps	Character	10	0	TRUE	insdps varchar(10) null																																																																																									
insdpt	Character	9	0	TRUE	insdpt varchar(9) null																																																																																									
insdss	Character	10	0	TRUE	insdss varchar(10) null																																																																																									
insdst	Character	9	0	TRUE	insdst varchar(9) null																																																																																									
float	Character	10	0	TRUE	float varchar(10) null																																																																																									
beta	Character	6	0	TRUE	beta varchar(6) null																																																																																									
mktcap	Character	8	0	TRUE	mktcap varchar(8) null																																																																																									
prchg_am3y	Character	7	0	TRUE	prchg_am3y varchar(7) null																																																																																									
prchg_sd3y	Character	7	0	TRUE	prchg_sd3y varchar(7) null																																																																																									
prchg_gm3y	Character	7	0	TRUE	prchg_gm3y varchar(7) null																																																																																									
insdns	Character	10	0	TRUE	insdns varchar(10) null																																																																																									
ins_pr_shr	Character	6	0	TRUE	ins_pr_shr varchar(6) null																																																																																									
prp_2yh	Character	7	0	TRUE	prp_2yh varchar(7) null																																																																																									
dd_a3m	Character	10	0	TRUE	dd_a3m varchar(10) null																																																																																									
shr_ay8	Character	8	0	TRUE	shr_ay8 varchar(8) null																																																																																									
rps_6m	Character	10	0	TRUE	rps_6m varchar(10) null																																																																																									
repno	Character	5	0	FALSE	repno varchar(5) not null																																																																																									
lastmod	Date	8	0	FALSE	lastmod date not null																																																																																									
updated	Logical	1	0	FALSE	updated bit not null																																																																																									
mktcap_q1	Character	8	0	TRUE	mktcap_q1 varchar(8) null																																																																																									
mktcap_q2	Character	8	0	TRUE	mktcap_q2 varchar(8) null																																																																																									
mktcap_q3	Character	8	0	TRUE	mktcap_q3 varchar(8) null																																																																																									
mktcap_q4	Character	8	0	TRUE	mktcap_q4 varchar(8) null																																																																																									
mktcap_q5	Character	8	0	TRUE	mktcap_q5 varchar(8) null																																																																																									
mktcap_q6	Character	8	0	TRUE	mktcap_q6 varchar(8) null																																																																																									
mktcap_q7	Character	8	0	TRUE	mktcap_q7 varchar(8) null																																																																																									
mktcap_q8	Character	8	0	TRUE	mktcap_q8 varchar(8) null																																																																																									
mktcap_y1	Character	8	0	TRUE	mktcap_y1 varchar(8) null																																																																																									
mktcap_y2	Character	8	0	TRUE	mktcap_y2 varchar(8) null																																																																																									
mktcap_y3	Character	8	0	TRUE	mktcap_y3 varchar(8) null																																																																																									
mktcap_y4	Character	8	0	TRUE	mktcap_y4 varchar(8) null																																																																																									
mktcap_y5	Character	8	0	TRUE	mktcap_y5 varchar(8) null																																																																																									
mktcap_y6	Character	8	0	TRUE	mktcap_y6 varchar(8) null																																																																																									
mktcap_y7	Character	8	0	TRUE	mktcap_y7 varchar(8) null																																																																																									
shr_dq1	Character	8	0	TRUE	shr_dq1 varchar(8) null																																																																																									
shr_dq2	Character	8	0	TRUE	shr_dq2 varchar(8) null																																																																																									
shr_dq3	Character	8	0	TRUE	shr_dq3 varchar(8) null																																																																																									
shr_dq4	Character	8	0	TRUE	shr_dq4 varchar(8) null																																																																																									
shr_dq5	Character	8	0	TRUE	shr_dq5 varchar(8) null																																																																																									
shr_dq6	Character	8	0	TRUE	shr_dq6 varchar(8) null																																																																																									
shr_dq7	Character	8	0	TRUE	shr_dq7 varchar(8) null																																																																																									
shr_dq8	Character	8	0	TRUE	shr_dq8 varchar(8) null																																																																																									
shr_dq9	Character	8	0	TRUE	shr_dq9 varchar(8) null																																																																																									
shr_dq10	Character	8	0	TRUE	shr_dq10 varchar(8) null																																																																																									
shr_dy1	Character	8	0	TRUE	shr_dy1 varchar(8) null																																																																																									
shr_dy2	Character	8	0	TRUE	shr_dy2 varchar(8) null																																																																																									
shr_dy3	Character	8	0	TRUE	shr_dy3 varchar(8) null																																																																																									
