Name	Type	Width	Decimal	NULL																																																																																																																				
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																			
price_m001	Character	14	0	TRUE	price_m001 varchar(14) null																																																																																																																			
price_m002	Character	14	0	TRUE	price_m002 varchar(14) null																																																																																																																			
price_m003	Character	14	0	TRUE	price_m003 varchar(14) null																																																																																																																			
price_m004	Character	14	0	TRUE	price_m004 varchar(14) null																																																																																																																			
price_m005	Character	14	0	TRUE	price_m005 varchar(14) null																																																																																																																			
price_m006	Character	14	0	TRUE	price_m006 varchar(14) null																																																																																																																			
price_m007	Character	14	0	TRUE	price_m007 varchar(14) null																																																																																																																			
price_m008	Character	14	0	TRUE	price_m008 varchar(14) null																																																																																																																			
price_m009	Character	14	0	TRUE	price_m009 varchar(14) null																																																																																																																			
price_m010	Character	14	0	TRUE	price_m010 varchar(14) null																																																																																																																			
price_m011	Character	14	0	TRUE	price_m011 varchar(14) null																																																																																																																			
price_m012	Character	14	0	TRUE	price_m012 varchar(14) null																																																																																																																			
price_m013	Character	14	0	TRUE	price_m013 varchar(14) null																																																																																																																			
price_m014	Character	14	0	TRUE	price_m014 varchar(14) null																																																																																																																			
price_m015	Character	14	0	TRUE	price_m015 varchar(14) null																																																																																																																			
price_m016	Character	14	0	TRUE	price_m016 varchar(14) null																																																																																																																			
price_m017	Character	14	0	TRUE	price_m017 varchar(14) null																																																																																																																			
price_m018	Character	14	0	TRUE	price_m018 varchar(14) null																																																																																																																			
price_m019	Character	14	0	TRUE	price_m019 varchar(14) null																																																																																																																			
price_m020	Character	14	0	TRUE	price_m020 varchar(14) null																																																																																																																			
price_m021	Character	14	0	TRUE	price_m021 varchar(14) null																																																																																																																			
price_m022	Character	14	0	TRUE	price_m022 varchar(14) null																																																																																																																			
price_m023	Character	14	0	TRUE	price_m023 varchar(14) null																																																																																																																			
price_m024	Character	14	0	TRUE	price_m024 varchar(14) null																																																																																																																			
price_m025	Character	14	0	TRUE	price_m025 varchar(14) null																																																																																																																			
price_m026	Character	14	0	TRUE	price_m026 varchar(14) null																																																																																																																			
price_m027	Character	14	0	TRUE	price_m027 varchar(14) null																																																																																																																			
