Name	Type	Width	Decimal	NULL																																																																																																																											
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																										
priced_y1	Date	8	0	TRUE	priced_y1 date null																																																																																																																										
priced_y2	Date	8	0	TRUE	priced_y2 date null																																																																																																																										
priced_y3	Date	8	0	TRUE	priced_y3 date null																																																																																																																										
priced_y4	Date	8	0	TRUE	priced_y4 date null																																																																																																																										
priced_y5	Date	8	0	TRUE	priced_y5 date null																																																																																																																										
priced_y6	Date	8	0	TRUE	priced_y6 date null																																																																																																																										
priced_y7	Date	8	0	TRUE	priced_y7 date null																																																																																																																										
pricedm001	Date	8	0	TRUE	pricedm001 date null																																																																																																																										
pricedm002	Date	8	0	TRUE	pricedm002 date null																																																																																																																										
pricedm003	Date	8	0	TRUE	pricedm003 date null																																																																																																																										
pricedm004	Date	8	0	TRUE	pricedm004 date null																																																																																																																										
pricedm005	Date	8	0	TRUE	pricedm005 date null																																																																																																																										
pricedm006	Date	8	0	TRUE	pricedm006 date null																																																																																																																										
pricedm007	Date	8	0	TRUE	pricedm007 date null																																																																																																																										
pricedm008	Date	8	0	TRUE	pricedm008 date null																																																																																																																										
pricedm009	Date	8	0	TRUE	pricedm009 date null																																																																																																																										
pricedm010	Date	8	0	TRUE	pricedm010 date null																																																																																																																										
pricedm011	Date	8	0	TRUE	pricedm011 date null																																																																																																																										
pricedm012	Date	8	0	TRUE	pricedm012 date null																																																																																																																										
pricedm013	Date	8	0	TRUE	pricedm013 date null																																																																																																																										
pricedm014	Date	8	0	TRUE	pricedm014 date null																																																																																																																										
pricedm015	Date	8	0	TRUE	pricedm015 date null																																																																																																																										
pricedm016	Date	8	0	TRUE	pricedm016 date null																																																																																																																										
pricedm017	Date	8	0	TRUE	pricedm017 date null																																																																																																																										
pricedm018	Date	8	0	TRUE	pricedm018 date null																																																																																																																										
pricedm019	Date	8	0	TRUE	pricedm019 date null																																																																																																																										
pricedm020	Date	8	0	TRUE	pricedm020 date null																																																																																																																										
pricedm021	Date	8	0	TRUE	pricedm021 date null																																																																																																																										
pricedm022	Date	8	0	TRUE	pricedm022 date null																																																																																																																										
pricedm023	Date	8	0	TRUE	pricedm023 date null																																																																																																																										
pricedm024	Date	8	0	TRUE	pricedm024 date null																																																																																																																										
pricedm025	Date	8	0	TRUE	pricedm025 date null																																																																																																																										
pricedm026	Date	8	0	TRUE	pricedm026 date null																																																																																																																										
pricedm027	Date	8	0	TRUE	pricedm027 date null																																																																																																																										
pricedm028	Date	8	0	TRUE	pricedm028 date null																																																																																																																										
pricedm029	Date	8	0	TRUE	pricedm029 date null																																																																																																																										
pricedm030	Date	8	0	TRUE	pricedm030 date null																																																																																																																										
pricedm031	Date	8	0	TRUE	pricedm031 date null																																																																																																																										
pricedm032	Date	8	0	TRUE	pricedm032 date null																																																																																																																										
