Name	Type	Width	Decimal	NULL																																																																																																																				
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																			
pricehm001	Character	14	0	TRUE	pricehm001 varchar(14) null																																																																																																																			
pricehm002	Character	14	0	TRUE	pricehm002 varchar(14) null																																																																																																																			
pricehm003	Character	14	0	TRUE	pricehm003 varchar(14) null																																																																																																																			
pricehm004	Character	14	0	TRUE	pricehm004 varchar(14) null																																																																																																																			
pricehm005	Character	14	0	TRUE	pricehm005 varchar(14) null																																																																																																																			
pricehm006	Character	14	0	TRUE	pricehm006 varchar(14) null																																																																																																																			
pricehm007	Character	14	0	TRUE	pricehm007 varchar(14) null																																																																																																																			
pricehm008	Character	14	0	TRUE	pricehm008 varchar(14) null																																																																																																																			
pricehm009	Character	14	0	TRUE	pricehm009 varchar(14) null																																																																																																																			
pricehm010	Character	14	0	TRUE	pricehm010 varchar(14) null																																																																																																																			
pricehm011	Character	14	0	TRUE	pricehm011 varchar(14) null																																																																																																																			
pricehm012	Character	14	0	TRUE	pricehm012 varchar(14) null																																																																																																																			
pricehm013	Character	14	0	TRUE	pricehm013 varchar(14) null																																																																																																																			
pricehm014	Character	14	0	TRUE	pricehm014 varchar(14) null																																																																																																																			
pricehm015	Character	14	0	TRUE	pricehm015 varchar(14) null																																																																																																																			
pricehm016	Character	14	0	TRUE	pricehm016 varchar(14) null																																																																																																																			
pricehm017	Character	14	0	TRUE	pricehm017 varchar(14) null																																																																																																																			
pricehm018	Character	14	0	TRUE	pricehm018 varchar(14) null																																																																																																																			
pricehm019	Character	14	0	TRUE	pricehm019 varchar(14) null																																																																																																																			
pricehm020	Character	14	0	TRUE	pricehm020 varchar(14) null																																																																																																																			
pricehm021	Character	14	0	TRUE	pricehm021 varchar(14) null																																																																																																																			
pricehm022	Character	14	0	TRUE	pricehm022 varchar(14) null																																																																																																																			
pricehm023	Character	14	0	TRUE	pricehm023 varchar(14) null																																																																																																																			
pricehm024	Character	14	0	TRUE	pricehm024 varchar(14) null																																																																																																																			
pricehm025	Character	14	0	TRUE	pricehm025 varchar(14) null																																																																																																																			
pricehm026	Character	14	0	TRUE	pricehm026 varchar(14) null																																																																																																																			
pricehm027	Character	14	0	TRUE	pricehm027 varchar(14) null																																																																																																																			
pricehm028	Character	14	0	TRUE	pricehm028 varchar(14) null																																																																																																																			
pricehm029	Character	14	0	TRUE	pricehm029 varchar(14) null																																																																																																																			
pricehm030	Character	14	0	TRUE	pricehm030 varchar(14) null																																																																																																																			
pricehm031	Character	14	0	TRUE	pricehm031 varchar(14) null																																																																																																																			
pricehm032	Character	14	0	TRUE	pricehm032 varchar(14) null																																																																																																																			
pricehm033	Character	14	0	TRUE	pricehm033 varchar(14) null																																																																																																																			
pricehm034	Character	14	0	TRUE	pricehm034 varchar(14) null																																																																																																																			
pricehm035	Character	14	0	TRUE	pricehm035 varchar(14) null																																																																																																																			
pricehm036	Character	14	0	TRUE	pricehm036 varchar(14) null																																																																																																																			
