Name	Type	Width	Decimal	NULL																																																																																																																				
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																			
pricelm001	Character	14	0	TRUE	pricelm001 varchar(14) null																																																																																																																			
pricelm002	Character	14	0	TRUE	pricelm002 varchar(14) null																																																																																																																			
pricelm003	Character	14	0	TRUE	pricelm003 varchar(14) null																																																																																																																			
pricelm004	Character	14	0	TRUE	pricelm004 varchar(14) null																																																																																																																			
pricelm005	Character	14	0	TRUE	pricelm005 varchar(14) null																																																																																																																			
pricelm006	Character	14	0	TRUE	pricelm006 varchar(14) null																																																																																																																			
pricelm007	Character	14	0	TRUE	pricelm007 varchar(14) null																																																																																																																			
pricelm008	Character	14	0	TRUE	pricelm008 varchar(14) null																																																																																																																			
pricelm009	Character	14	0	TRUE	pricelm009 varchar(14) null																																																																																																																			
pricelm010	Character	14	0	TRUE	pricelm010 varchar(14) null																																																																																																																			
pricelm011	Character	14	0	TRUE	pricelm011 varchar(14) null																																																																																																																			
pricelm012	Character	14	0	TRUE	pricelm012 varchar(14) null																																																																																																																			
pricelm013	Character	14	0	TRUE	pricelm013 varchar(14) null																																																																																																																			
pricelm014	Character	14	0	TRUE	pricelm014 varchar(14) null																																																																																																																			
pricelm015	Character	14	0	TRUE	pricelm015 varchar(14) null																																																																																																																			
pricelm016	Character	14	0	TRUE	pricelm016 varchar(14) null																																																																																																																			
pricelm017	Character	14	0	TRUE	pricelm017 varchar(14) null																																																																																																																			
pricelm018	Character	14	0	TRUE	pricelm018 varchar(14) null																																																																																																																			
pricelm019	Character	14	0	TRUE	pricelm019 varchar(14) null																																																																																																																			
pricelm020	Character	14	0	TRUE	pricelm020 varchar(14) null																																																																																																																			
pricelm021	Character	14	0	TRUE	pricelm021 varchar(14) null																																																																																																																			
pricelm022	Character	14	0	TRUE	pricelm022 varchar(14) null																																																																																																																			
pricelm023	Character	14	0	TRUE	pricelm023 varchar(14) null																																																																																																																			
pricelm024	Character	14	0	TRUE	pricelm024 varchar(14) null																																																																																																																			
pricelm025	Character	14	0	TRUE	pricelm025 varchar(14) null																																																																																																																			
pricelm026	Character	14	0	TRUE	pricelm026 varchar(14) null																																																																																																																			
pricelm027	Character	14	0	TRUE	pricelm027 varchar(14) null																																																																																																																			
pricelm028	Character	14	0	TRUE	pricelm028 varchar(14) null																																																																																																																			
pricelm029	Character	14	0	TRUE	pricelm029 varchar(14) null																																																																																																																			
pricelm030	Character	14	0	TRUE	pricelm030 varchar(14) null																																																																																																																			
