Name	Type	Width	Decimal	NULL																																																																																																																				
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																			
pricevm001	Character	13	0	TRUE	pricevm001 varchar(13) null																																																																																																																			
pricevm002	Character	13	0	TRUE	pricevm002 varchar(13) null																																																																																																																			
pricevm003	Character	13	0	TRUE	pricevm003 varchar(13) null																																																																																																																			
pricevm004	Character	13	0	TRUE	pricevm004 varchar(13) null																																																																																																																			
pricevm005	Character	13	0	TRUE	pricevm005 varchar(13) null																																																																																																																			
pricevm006	Character	13	0	TRUE	pricevm006 varchar(13) null																																																																																																																			
pricevm007	Character	13	0	TRUE	pricevm007 varchar(13) null																																																																																																																			
pricevm008	Character	13	0	TRUE	pricevm008 varchar(13) null																																																																																																																			
pricevm009	Character	13	0	TRUE	pricevm009 varchar(13) null																																																																																																																			
pricevm010	Character	13	0	TRUE	pricevm010 varchar(13) null																																																																																																																			
pricevm011	Character	13	0	TRUE	pricevm011 varchar(13) null																																																																																																																			
pricevm012	Character	13	0	TRUE	pricevm012 varchar(13) null																																																																																																																			
pricevm013	Character	13	0	TRUE	pricevm013 varchar(13) null																																																																																																																			
pricevm014	Character	13	0	TRUE	pricevm014 varchar(13) null																																																																																																																			
pricevm015	Character	13	0	TRUE	pricevm015 varchar(13) null																																																																																																																			
pricevm016	Character	13	0	TRUE	pricevm016 varchar(13) null																																																																																																																			
pricevm017	Character	13	0	TRUE	pricevm017 varchar(13) null																																																																																																																			
pricevm018	Character	13	0	TRUE	pricevm018 varchar(13) null																																																																																																																			
pricevm019	Character	13	0	TRUE	pricevm019 varchar(13) null																																																																																																																			
pricevm020	Character	13	0	TRUE	pricevm020 varchar(13) null																																																																																																																			
pricevm021	Character	13	0	TRUE	pricevm021 varchar(13) null																																																																																																																			
pricevm022	Character	13	0	TRUE	pricevm022 varchar(13) null																																																																																																																			
pricevm023	Character	13	0	TRUE	pricevm023 varchar(13) null																																																																																																																			
pricevm024	Character	13	0	TRUE	pricevm024 varchar(13) null																																																																																																																			
pricevm025	Character	13	0	TRUE	pricevm025 varchar(13) null																																																																																																																			
pricevm026	Character	13	0	TRUE	pricevm026 varchar(13) null																																																																																																																			
pricevm027	Character	13	0	TRUE	pricevm027 varchar(13) null																																																																																																																			
