Name	Type	Width	Decimal	NULL																																																																																																																																																														
company_id	Character	8	0	TRUE	company_id varchar(8) null																																																																																																																																																													
gpm_12m	Character	6	0	TRUE	gpm_12m varchar(6) null																																																																																																																																																													
gpm_y1	Character	6	0	TRUE	gpm_y1 varchar(6) null																																																																																																																																																													
gpm_y2	Character	6	0	TRUE	gpm_y2 varchar(6) null																																																																																																																																																													
gpm_y3	Character	6	0	TRUE	gpm_y3 varchar(6) null																																																																																																																																																													
gpm_y4	Character	6	0	TRUE	gpm_y4 varchar(6) null																																																																																																																																																													
gpm_y5	Character	6	0	TRUE	gpm_y5 varchar(6) null																																																																																																																																																													
gpm_y6	Character	6	0	TRUE	gpm_y6 varchar(6) null																																																																																																																																																													
gpm_y7	Character	6	0	TRUE	gpm_y7 varchar(6) null																																																																																																																																																													
gpm_a5y	Character	6	0	TRUE	gpm_a5y varchar(6) null																																																																																																																																																													
opm_12m	Character	6	0	TRUE	opm_12m varchar(6) null																																																																																																																																																													
opm_y1	Character	6	0	TRUE	opm_y1 varchar(6) null																																																																																																																																																													
opm_y2	Character	6	0	TRUE	opm_y2 varchar(6) null																																																																																																																																																													
opm_y3	Character	6	0	TRUE	opm_y3 varchar(6) null																																																																																																																																																													
opm_y4	Character	6	0	TRUE	opm_y4 varchar(6) null																																																																																																																																																													
opm_y5	Character	6	0	TRUE	opm_y5 varchar(6) null																																																																																																																																																													
opm_y6	Character	6	0	TRUE	opm_y6 varchar(6) null																																																																																																																																																													
opm_y7	Character	6	0	TRUE	opm_y7 varchar(6) null																																																																																																																																																													
opm_a3y	Character	6	0	TRUE	opm_a3y varchar(6) null																																																																																																																																																													
tie_12m	Character	6	0	TRUE	tie_12m varchar(6) null																																																																																																																																																													
tie_y1	Character	6	0	TRUE	tie_y1 varchar(6) null																																																																																																																																																													
tie_y2	Character	6	0	TRUE	tie_y2 varchar(6) null																																																																																																																																																													
tie_y3	Character	6	0	TRUE	tie_y3 varchar(6) null																																																																																																																																																													
tie_y4	Character	6	0	TRUE	tie_y4 varchar(6) null																																																																																																																																																													
tie_y5	Character	6	0	TRUE	tie_y5 varchar(6) null																																																																																																																																																													
tie_y6	Character	6	0	TRUE	tie_y6 varchar(6) null																																																																																																																																																													
tie_y7	Character	6	0	TRUE	tie_y7 varchar(6) null																																																																																																																																																													
arturn_12m	Character	6	0	TRUE	arturn_12m varchar(6) null																																																																																																																																																													
arturn_y1	Character	6	0	TRUE	arturn_y1 varchar(6) null																																																																																																																																																													
arturn_y2	Character	6	0	TRUE	arturn_y2 varchar(6) null																																																																																																																																																													
arturn_y3	Character	6	0	TRUE	arturn_y3 varchar(6) null																																																																																																																																																													
arturn_y4	Character	6	0	TRUE	arturn_y4 varchar(6) null																																																																																																																																																													
arturn_y5	Character	6	0	TRUE	arturn_y5 varchar(6) null																																																																																																																																																													
arturn_y6	Character	6	0	TRUE	arturn_y6 varchar(6) null																																																																																																																																																													
arturn_y7	Character	6	0	TRUE	arturn_y7 varchar(6) null																																																																																																																																																													
npm_12m	Character	6	0	TRUE	npm_12m varchar(6) null																																																																																																																																																													
npm_y1	Character	6	0	TRUE	npm_y1 varchar(6) null																																																																																																																																																													
npm_y2	Character	6	0	TRUE	npm_y2 varchar(6) null																																																																																																																																																													
npm_y3	Character	6	0	TRUE	npm_y3 varchar(6) null																																																																																																																																																													
npm_y4	Character	6	0	TRUE	npm_y4 varchar(6) null																																																																																																																																																													
npm_y5	Character	6	0	TRUE	npm_y5 varchar(6) null																																																																																																																																																													
npm_y6	Character	6	0	TRUE	npm_y6 varchar(6) null																																																																																																																																																													
npm_y7	Character	6	0	TRUE	npm_y7 varchar(6) null																																																																																																																																																													
payout_12m	Character	6	0	TRUE	payout_12m varchar(6) null																																																																																																																																																													
payout_y1	Character	6	0	TRUE	payout_y1 varchar(6) null																																																																																																																																																													
payout_y2	Character	6	0	TRUE	payout_y2 varchar(6) null																																																																																																																																																													
payout_y3	Character	6	0	TRUE	payout_y3 varchar(6) null																																																																																																																																																													
payout_y4	Character	6	0	TRUE	payout_y4 varchar(6) null																																																																																																																																																													
payout_y5	Character	6	0	TRUE	payout_y5 varchar(6) null																																																																																																																																																													
payout_y6	Character	6	0	TRUE	payout_y6 varchar(6) null																																																																																																																																																													
payout_y7	Character	6	0	TRUE	payout_y7 varchar(6) null																																																																																																																																																													
roa_12m	Character	6	0	TRUE	roa_12m varchar(6) null																																																																																																																																																													
roa_y1	Character	6	0	TRUE	roa_y1 varchar(6) null																																																																																																																																																													
roa_y2	Character	6	0	TRUE	roa_y2 varchar(6) null																																																																																																																																																													
roa_y3	Character	6	0	TRUE	roa_y3 varchar(6) null																																																																																																																																																													
roa_y4	Character	6	0	TRUE	roa_y4 varchar(6) null																																																																																																																																																													
roa_y5	Character	6	0	TRUE	roa_y5 varchar(6) null																																																																																																																																																													
roa_y6	Character	6	0	TRUE	roa_y6 varchar(6) null																																																																																																																																																													
roa_y7	Character	6	0	TRUE	roa_y7 varchar(6) null																																																																																																																																																													
roe_12m	Character	6	0	TRUE	roe_12m varchar(6) null																																																																																																																																																													
roe_y1	Character	6	0	TRUE	roe_y1 varchar(6) null																																																																																																																																																													
roe_y2	Character	6	0	TRUE	roe_y2 varchar(6) null																																																																																																																																																													
