Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																																																									
company_id	Character	8	0	FALSE	company_id varchar(8) not null																																																																																																																																																																																																																																																								
udef00	Character	10	0	TRUE	udef00 varchar(10) null																																																																																																																																																																																																																																																								
udef01	Character	10	0	TRUE	udef01 varchar(10) null																																																																																																																																																																																																																																																								
udef02	Character	10	0	TRUE	udef02 varchar(10) null																																																																																																																																																																																																																																																								
udef03	Character	10	0	TRUE	udef03 varchar(10) null																																																																																																																																																																																																																																																								
udef04	Character	10	0	TRUE	udef04 varchar(10) null																																																																																																																																																																																																																																																								
udef05	Character	10	0	TRUE	udef05 varchar(10) null																																																																																																																																																																																																																																																								
udef06	Character	10	0	TRUE	udef06 varchar(10) null																																																																																																																																																																																																																																																								
udef07	Character	10	0	TRUE	udef07 varchar(10) null																																																																																																																																																																																																																																																								
udef08	Character	10	0	TRUE	udef08 varchar(10) null																																																																																																																																																																																																																																																								
udef09	Character	10	0	TRUE	udef09 varchar(10) null																																																																																																																																																																																																																																																								
udef0a	Character	10	0	TRUE	udef0a varchar(10) null																																																																																																																																																																																																																																																								
udef0b	Character	10	0	TRUE	udef0b varchar(10) null																																																																																																																																																																																																																																																								
udef0c	Character	10	0	TRUE	udef0c varchar(10) null																																																																																																																																																																																																																																																								
udef0d	Character	10	0	TRUE	udef0d varchar(10) null																																																																																																																																																																																																																																																								
udef0e	Character	10	0	TRUE	udef0e varchar(10) null																																																																																																																																																																																																																																																								
udef0f	Character	10	0	TRUE	udef0f varchar(10) null																																																																																																																																																																																																																																																								
udef10	Character	10	0	TRUE	udef10 varchar(10) null																																																																																																																																																																																																																																																								
udef11	Character	10	0	TRUE	udef11 varchar(10) null																																																																																																																																																																																																																																																								
udef12	Character	10	0	TRUE	udef12 varchar(10) null																																																																																																																																																																																																																																																								
udef13	Character	10	0	TRUE	udef13 varchar(10) null																																																																																																																																																																																																																																																								
udef14	Character	10	0	TRUE	udef14 varchar(10) null																																																																																																																																																																																																																																																								
